customer_id,first_name,last_name,phone,email,address,city,state,zipcode,county,date_of_birth,is_active,loyalty_member,date_created
1,Liam,Martin,229-555-5964,lmartin381@fakeinbox.net,5588 Shady Ln,Durham,NC,27701,Durham,1971-03-08,0,1,2018-10-01 21:49:19.870339
2,Daniel,Martin,388-555-1193,danielm595@notinbox.net,86390 Pine St,Dunn,NC,28334,Harnett,1986-09-29,1,1,2018-02-25 21:49:19.870364
3,Christopher,Hill,487-555-6456,hill624@notinbox.net,62721 Spruce Ln,Fuquay-Varina,NC,27526,Wake,1965-06-03,1,0,2026-01-22 21:49:19.870373
4,John,Thomas,447-555-3251,johnt477@notinbox.net,58115 Maple Ave,Durham,NC,27704,Durham,1981-09-11,1,0,2018-08-15 21:49:19.870381
5,Andrew,Hernandez,273-555-1730,hernandezandrew921@fakemail.com,71780 State St,Raleigh,NC,27607,Wake,1959-09-16,1,1,2026-01-18 21:49:19.870391
6,Daniel,Rodriguez,210-555-7184,rodriguez908@nachomail.net,56504 Church St,Angier,NC,27501,Harnett,1992-04-26,0,0,2019-10-13 21:49:19.870399
7,Robert,Green,479-555-1351,robertgreen667@fakemail.com,19177 Park St,Clayton,NC,27520,Johnston,1986-06-21,1,1,2018-08-21 21:49:19.870405
8,Randy,Hill,474-555-7501,hillrandy898@nachomail.net,55602 Chestnut St,Clayton,NC,27520,Johnston,1961-07-29,1,0,2017-12-31 21:49:19.870412
9,Barbara,Taylor,480-555-9166,barbara408@offlinemail.com,1670 Cedar Ln,Garner,NC,27529,Wake,1946-08-25,1,1,2026-03-24 21:49:19.870419
10,Charles,Garcia,218-555-3445,charlesg402@fakeinbox.net,99017 Hummingbird Dr,Garner,NC,27529,Wake,1992-12-29,1,1,2025-06-09 21:49:19.870426
11,Stephanie,James,312-555-2463,stephaniejames489@offlinemail.com,90468 Lakeview Dr,Sanford,NC,27330,Lee,1956-05-03,1,1,2020-05-01 21:49:19.870433
12,Randy,Hernandez,206-555-3593,randy956@notinbox.net,22787 Walnut Ave,Cary,NC,27513,Wake,1997-08-16,0,1,2022-01-04 21:49:19.870440
13,Jessica,Wilson,303-555-3941,jessicawilson624@notinbox.net,63405 Hummingbird Dr,Cary,NC,27511,Wake,1957-10-14,1,0,2026-03-11 21:49:19.870448
14,Daniel,Martin,252-555-8647,martindaniel917@fakemail.com,29375 Washington St,Raleigh,NC,27604,Wake,1973-08-07,1,1,2022-01-20 21:49:19.870455
15,Patricia,Rodriguez,469-555-4255,patriciar451@fakeinbox.net,84312 Walnut Ave,Angier,NC,27501,Harnett,1953-06-14,1,0,2023-01-21 21:49:19.870462
16,Lisa,Adams,258-555-2079,adams295@nachomail.net,17057 Magnolia Rd,Lillington,NC,27546,Harnett,1950-03-18,0,0,2020-05-07 21:49:19.870469
17,Andrew,Smith,421-555-3876,andrews211@fakeinbox.net,54731 State St,Sanford,NC,27330,Lee,1973-06-20,0,1,2024-11-07 21:49:19.870475
18,Stephanie,Miller,456-555-8628,millerstephanie834@nachomail.net,24170 Laurel Rd,Raleigh,NC,27601,Wake,1950-01-17,0,1,2024-04-10 21:49:19.870482
19,Matthew,Kelly,290-555-6911,kelly298@fakemail.com,49922 Circle Dr,Apex,NC,27502,Wake,1999-04-15,0,1,2022-08-23 21:49:19.870489
20,Christopher,Baker,280-555-9488,christopher624@nachomail.net,34590 Jefferson St,Broadway,NC,27505,Harnett,1953-05-27,1,1,2023-07-18 21:49:19.870496
21,William,Garcia,238-555-2492,wgarcia599@notinbox.net,38958 Oak St,Durham,NC,27704,Durham,1959-12-21,1,1,2023-04-14 21:49:19.870502
22,James,Allen,248-555-6916,james291@fakemail.com,21286 Laurel Rd,Apex,NC,27502,Wake,1951-02-11,1,1,2022-12-09 21:49:19.870509
23,Lisa,Hernandez,415-555-4526,lisa928@nachomail.net,57070 Lincoln Ave,Raleigh,NC,27616,Wake,1980-06-16,1,1,2021-06-28 21:49:19.870517
24,Liam,Jones,257-555-1104,jones578@notinbox.net,76183 Chestnut St,Lillington,NC,27546,Harnett,1988-09-14,1,1,2021-08-11 21:49:19.870523
25,David,Rodriguez,469-555-4820,davidr526@notinbox.net,13410 Central Ave,Clayton,NC,27520,Johnston,1958-09-30,1,0,2020-11-29 21:49:19.870530
26,Patricia,Taylor,343-555-1666,patriciat977@notinbox.net,40853 Hummingbird Dr,Durham,NC,27701,Durham,1976-10-10,1,0,2022-09-28 21:49:19.870537
27,Nancy,Smith,324-555-7344,nancysmith211@notinbox.net,87549 Elm St,Raleigh,NC,27601,Wake,1998-07-21,1,1,2021-01-24 21:49:19.870544
