"customer_id","first_name","last_name","gender","phone_number","email","address","city","state","zipcode","county","dob","is_active","loyalty_member","date_created","date_inactive","date_updated"
"1","Joseph","Anderson","M","240-555-4124","anderson590@notinbox.net","80494 Hummingbird Dr","Dunn","NC","28334","Harnett","1952-04-22","1","1","2023-01-21 00:00:00",\N,"2026-04-21 16:32:41"
"2","Luna","Green","F","476-555-2407","greenluna247@notinbox.net","32235 Elm St","Holly Springs","NC","27540","Wake","1942-07-26","1","0","2019-03-15 00:00:00",\N,"2026-04-21 16:33:26"
"3","Richard","Hernandez","M","385-555-5744","richardhernandez724@fakeinbox.net","77657 Cardinal Ave","Raleigh","NC","27615","Wake","1940-06-22","1","0","2022-05-21 00:00:00",\N,"2026-04-21 16:32:41"
"4","Richard","Allen","M","315-555-9517","richard595@fakeinbox.net","13624 Dogwood St","Raleigh","NC","27612","Wake","1951-03-04","1","1","2020-10-08 00:00:00",\N,"2026-04-21 16:32:41"
"5","Susan","Johnson","F","365-555-6207","johnsonsusan699@nachomail.net","22809 Central Ave","Garner","NC","27529","Wake","1968-10-26","1","0","2024-12-20 00:00:00",\N,"2026-04-21 16:33:26"
"6","Lisa","Hernandez","F","238-555-8507","lisa334@offlinemail.com","9599 Church St","Raleigh","NC","27616","Wake","1961-05-21","1","1","2021-09-18 00:00:00",\N,"2026-04-21 16:33:26"
"7","William","Adams","M","212-555-9665","williamadams495@offlinemail.com","82922 Magnolia Rd","Fuquay-Varina","NC","27526","Wake","1942-09-05","1","1","2021-12-06 00:00:00",\N,"2026-04-21 16:33:50"
"8","Jessica","Thomas","F","326-555-8282","jessicat348@notinbox.net","30360 Lincoln Ave","Clayton","NC","27520","Johnston","1982-09-22","1","0","2025-07-06 00:00:00",\N,"2026-04-21 16:33:26"
"9","Thomas","Anderson","M","449-555-8756","tanderson617@nachomail.net","40895 Maple Ave","Durham","NC","27704","Durham","1956-03-30","1","1","2020-12-12 00:00:00",\N,"2026-04-21 16:32:41"
"10","William","Brown","M","283-555-6430","brown412@notinbox.net","41662 Central Ave","Raleigh","NC","27616","Wake","1943-05-25","1","1","2023-10-01 00:00:00",\N,"2026-04-21 16:33:50"
"11","Patricia","Williams","F","402-555-3048","patriciaw180@notinbox.net","84812 Cardinal Ave","Raleigh","NC","27616","Wake","2000-11-18","1","1","2022-05-07 00:00:00",\N,"2026-04-21 16:33:26"
"12","Elizabeth","Johnson","F","386-555-2595","elizabethj886@fakeinbox.net","99366 Walnut Ave","Cary","NC","27513","Wake","1984-10-25","1","1","2021-06-29 00:00:00",\N,"2026-04-21 16:33:26"
"13","Christopher","Williams","M","333-555-3145","williamschristopher578@fakeinbox.net","7474 Central Ave","Holly Springs","NC","27540","Wake","1968-05-30","1","0","2021-06-03 00:00:00",\N,"2026-04-21 16:32:41"
"14","Mary","Jones","F","462-555-7906","jones124@offlinemail.com","80724 Birch St","Cary","NC","27511","Wake","1943-01-30","0","0","2019-08-30 00:00:00","2024-12-31 00:00:00","2026-04-21 16:33:26"
"15","Charlotte","Williams","F","229-555-7345","williams151@offlinemail.com","26493 Cedar Ln","Cary","NC","27513","Wake","1945-12-12","1","1","2020-04-27 00:00:00",\N,"2026-04-21 16:33:26"
"16","Jason","Green","M","388-555-1207","jason570@offlinemail.com","91361 Spruce Ln","Clayton","NC","27520","Johnston","1973-05-28","1","0","2026-04-06 00:00:00",\N,"2026-04-21 16:32:41"
"17","Charles","Taylor","M","238-555-5565","ctaylor370@fakemail.com","58541 Circle Dr","Raleigh","NC","27606","Wake","1978-02-04","1","0","2022-04-05 00:00:00",\N,"2026-04-21 16:32:41"
"18","Luna","Brown","F","223-555-6146","luna730@fakeinbox.net","47366 State St","Raleigh","NC","27601","Wake","1955-06-21","1","1","2020-10-10 00:00:00",\N,"2026-04-21 16:33:26"
"19","Thomas","Williams","M","380-555-3683","williamsthomas186@notinbox.net","8775 Hummingbird Dr","Cary","NC","27513","Wake","2001-08-22","1","1","2025-05-15 00:00:00",\N,"2026-04-21 16:32:41"
"20","Florence","Cooper","F","439-555-7663","florencecooper914@fakemail.com","44691 Laurel Rd","Durham","NC","27701","Durham","1999-04-23","0","0","2020-04-07 00:00:00","2022-07-10 00:00:00","2026-04-21 16:33:26"
"21","John","Bell","M","447-555-3392","john142@offlinemail.com","84464 State St","Raleigh","NC","27607","Wake","1947-11-16","1","0","2023-05-30 00:00:00",\N,"2026-04-21 16:32:41"
"22","Richard","Cooper","M","258-555-5294","rcooper998@notinbox.net","39738 Main St","Raleigh","NC","27607","Wake","1963-07-17","0","1","2023-05-04 00:00:00","2024-09-06 00:00:00","2026-04-21 16:32:41"
"23","Stephanie","Moore","F","444-555-1343","stephaniemoore612@notinbox.net","54139 Elm St","Cary","NC","27511","Wake","1940-01-07","1","0","2023-08-17 00:00:00",\N,"2026-04-21 16:33:26"
"24","Richard","Jones","M","216-555-9001","richard491@nachomail.net","88404 Cardinal Ave","Fuquay-Varina","NC","27526","Wake","1984-06-02","0","1","2022-05-07 00:00:00","2022-12-17 00:00:00","2026-04-21 16:32:41"
