customer_key,customer_id,first_name,last_name,gender,phone_number,email_address,street_address,city,state,zipcode,county,birthdate,age,is_active,loyalty_member,date_created,date_inactive
1,1,Joseph,Anderson,Male,240-555-4124,anderson590@notinbox.net,"80494 Hummingbird Dr",Dunn,NC,28334,Harnett,1952-04-22,74,1,1,2023-01-21,NULL
2,2,Luna,Green,Female,476-555-2407,greenluna247@notinbox.net,"32235 Elm St","Holly Springs",NC,27540,Wake,1942-07-26,83,1,0,2019-03-15,NULL
3,3,Richard,Hernandez,Male,385-555-5744,richardhernandez724@fakeinbox.net,"77657 Cardinal Ave",Raleigh,NC,27615,Wake,1940-06-22,85,1,0,2022-05-21,NULL
4,4,Richard,Allen,Male,315-555-9517,richard595@fakeinbox.net,"13624 Dogwood St",Raleigh,NC,27612,Wake,1951-03-04,75,1,1,2020-10-08,NULL
5,5,Susan,Johnson,Female,365-555-6207,johnsonsusan699@nachomail.net,"22809 Central Ave",Garner,NC,27529,Wake,1968-10-26,57,1,0,2024-12-20,NULL
6,6,Lisa,Hernandez,Female,238-555-8507,lisa334@offlinemail.com,"9599 Church St",Raleigh,NC,27616,Wake,1961-05-21,65,1,1,2021-09-18,NULL
7,7,William,Adams,Male,212-555-9665,williamadams495@offlinemail.com,"82922 Magnolia Rd",Fuquay-Varina,NC,27526,Wake,1942-09-05,83,1,1,2021-12-06,NULL
8,8,Jessica,Thomas,Female,326-555-8282,jessicat348@notinbox.net,"30360 Lincoln Ave",Clayton,NC,27520,Johnston,1982-09-22,43,1,0,2025-07-06,NULL
9,9,Thomas,Anderson,Male,449-555-8756,tanderson617@nachomail.net,"40895 Maple Ave",Durham,NC,27704,Durham,1956-03-30,70,1,1,2020-12-12,NULL
10,10,William,Brown,Male,283-555-6430,brown412@notinbox.net,"41662 Central Ave",Raleigh,NC,27616,Wake,1943-05-25,83,1,1,2023-10-01,NULL
11,11,Patricia,Williams,Female,402-555-3048,patriciaw180@notinbox.net,"84812 Cardinal Ave",Raleigh,NC,27616,Wake,2000-11-18,25,1,1,2022-05-07,NULL
12,12,Elizabeth,Johnson,Female,386-555-2595,elizabethj886@fakeinbox.net,"99366 Walnut Ave",Cary,NC,27513,Wake,1984-10-25,41,1,1,2021-06-29,NULL
13,13,Christopher,Williams,Male,333-555-3145,williamschristopher578@fakeinbox.net,"7474 Central Ave","Holly Springs",NC,27540,Wake,1968-05-30,58,1,0,2021-06-03,NULL
14,14,Mary,Jones,Female,462-555-7906,jones124@offlinemail.com,"80724 Birch St",Cary,NC,27511,Wake,1943-01-30,83,0,0,2019-08-30,2024-12-31
15,15,Charlotte,Williams,Female,229-555-7345,williams151@offlinemail.com,"26493 Cedar Ln",Cary,NC,27513,Wake,1945-12-12,80,1,1,2020-04-27,NULL
16,16,Jason,Green,Male,388-555-1207,jason570@offlinemail.com,"91361 Spruce Ln",Clayton,NC,27520,Johnston,1973-05-28,53,1,0,2026-04-06,NULL
17,17,Charles,Taylor,Male,238-555-5565,ctaylor370@fakemail.com,"58541 Circle Dr",Raleigh,NC,27606,Wake,1978-02-04,48,1,0,2022-04-05,NULL
18,18,Luna,Brown,Female,223-555-6146,luna730@fakeinbox.net,"47366 State St",Raleigh,NC,27601,Wake,1955-06-21,70,1,1,2020-10-10,NULL
19,19,Thomas,Williams,Male,380-555-3683,williamsthomas186@notinbox.net,"8775 Hummingbird Dr",Cary,NC,27513,Wake,2001-08-22,24,1,1,2025-05-15,NULL
20,20,Florence,Cooper,Female,439-555-7663,florencecooper914@fakemail.com,"44691 Laurel Rd",Durham,NC,27701,Durham,1999-04-23,27,0,0,2020-04-07,2022-07-10
21,21,John,Bell,Male,447-555-3392,john142@offlinemail.com,"84464 State St",Raleigh,NC,27607,Wake,1947-11-16,78,1,0,2023-05-30,NULL
22,22,Richard,Cooper,Male,258-555-5294,rcooper998@notinbox.net,"39738 Main St",Raleigh,NC,27607,Wake,1963-07-17,62,0,1,2023-05-04,2024-09-06
23,23,Stephanie,Moore,Female,444-555-1343,stephaniemoore612@notinbox.net,"54139 Elm St",Cary,NC,27511,Wake,1940-01-07,86,1,0,2023-08-17,NULL
24,24,Richard,Jones,Male,216-555-9001,richard491@nachomail.net,"88404 Cardinal Ave",Fuquay-Varina,NC,27526,Wake,1984-06-02,42,0,1,2022-05-07,2022-12-17
25,25,Stephanie,Bell,Female,308-555-6328,stephanieb111@offlinemail.com,"32650 Pine St",Raleigh,NC,27606,Wake,1997-05-02,29,1,0,2023-07-22,NULL
26,26,Charlotte,Williams,Female,292-555-7654,charlottew778@offlinemail.com,"57178 Church St",Durham,NC,27701,Durham,1949-10-16,76,1,1,2021-12-26,NULL
27,27,Thomas,Clark,Male,485-555-9581,tclark48@fakeinbox.net,"91058 Washington St",Apex,NC,27502,Wake,1990-02-28,36,1,0,2020-04-02,NULL
28,28,Florence,White,Female,462-555-1928,whiteflorence312@nachomail.net,"96686 Circle Dr",Durham,NC,27701,Durham,2004-09-03,21,0,1,2022-09-20,2024-03-06
29,29,Nancy,Allen,Female,256-555-4876,nancyallen486@nachomail.net,"46926 Birch St",Garner,NC,27529,Wake,2000-08-20,25,1,1,2023-08-14,NULL
30,30,Michael,Wilson,Male,230-555-4191,wilsonmichael655@notinbox.net,"53472 Shady Ln",Durham,NC,27704,Durham,1975-08-18,50,1,0,2021-01-22,NULL
31,31,Michael,Martin,Male,224-555-9152,martin859@fakeinbox.net,"20264 Jefferson St",Raleigh,NC,27614,Wake,1970-05-28,56,0,0,2020-04-13,2023-09-30
32,32,Daniel,Smith,Male,465-555-9231,danielsmith262@fakeinbox.net,"51735 Magnolia Rd",Erwin,NC,28339,Harnett,1971-03-26,55,0,0,2021-07-10,2024-08-30
33,33,Mary,Hernandez,Female,209-555-3319,maryhernandez758@nachomail.net,"22633 Washington St",Raleigh,NC,27614,Wake,1967-08-16,58,1,1,2026-03-15,NULL
34,34,Sarah,Johnson,Female,226-555-9631,johnsonsarah352@fakeinbox.net,"45373 Maple Ave",Raleigh,NC,27607,Wake,1983-11-20,42,1,1,2025-02-02,NULL
35,35,Barbara,Martinez,Female,347-555-6420,bmartinez300@notinbox.net,"84337 Circle Dr",Garner,NC,27529,Wake,1979-09-26,46,1,0,2020-07-28,NULL
36,36,David,Williams,Male,315-555-5469,david889@nachomail.net,"48131 Main St",Dunn,NC,28334,Harnett,1957-08-21,68,1,1,2023-02-19,NULL
37,37,Jennifer,Wilson,Female,354-555-6996,jennifer791@fakeinbox.net,"56853 Park St",Morrisville,NC,27560,Wake,1946-03-19,80,1,0,2020-05-28,NULL
38,38,Joseph,Lopez,Male,398-555-5850,joseph765@nachomail.net,"93509 Maple Ave",Garner,NC,27529,Wake,1978-07-15,47,1,1,2020-11-24,NULL
39,39,Andrew,Edwards,Male,448-555-7664,edwards569@fakemail.com,"54446 Cedar Ln",Cary,NC,27513,Wake,1991-05-06,35,0,1,2020-06-30,2023-10-06
40,40,Charlotte,Allen,Female,393-555-5233,allen438@notinbox.net,"23191 Shady Ln",Raleigh,NC,27604,Wake,1995-05-24,31,1,1,2025-02-10,NULL
41,41,Charles,Miller,Male,322-555-6974,charlesm475@nachomail.net,"54500 Dogwood St",Apex,NC,27502,Wake,1992-03-31,34,1,0,2019-03-16,NULL
42,42,Patricia,Brown,Female,255-555-2900,pbrown325@fakeinbox.net,"80696 Oak St",Raleigh,NC,27601,Wake,1948-08-02,77,1,0,2023-07-01,NULL
43,43,Barbara,Edwards,Female,206-555-5636,barbaraedwards122@fakemail.com,"77478 Chestnut St",Raleigh,NC,27614,Wake,1986-10-16,39,1,0,2019-01-22,NULL
44,44,Jessica,Adams,Female,360-555-3770,jessicaa246@nachomail.net,"63663 Circle Dr",Dunn,NC,28334,Harnett,1981-05-24,45,0,1,2026-03-07,2026-04-09
45,45,Andrew,Edwards,Male,383-555-3658,andrewedwards69@offlinemail.com,"19614 Main St","Holly Springs",NC,27540,Wake,1973-01-31,53,0,1,2021-04-25,2023-11-27
46,46,Thomas,Brown,Male,473-555-8893,brown72@notinbox.net,"84380 Maple Ave",Angier,NC,27501,Harnett,1997-10-11,28,1,0,2025-09-02,NULL
47,47,Jessica,Davis,Female,287-555-3156,jessicadavis996@nachomail.net,"72147 Oak St",Sanford,NC,27330,Lee,1999-01-04,27,0,0,2023-08-01,2023-10-15
48,48,Jason,Carter,Male,315-555-7536,carterjason183@offlinemail.com,"61070 Maple Ave",Garner,NC,27529,Wake,1989-05-18,37,1,1,2024-08-20,NULL
49,49,Andrew,Clark,Male,230-555-7787,andrewclark260@nachomail.net,"44376 Oak St",Raleigh,NC,27616,Wake,1982-04-05,44,0,1,2020-05-31,2025-03-12
50,50,Richard,Hernandez,Male,304-555-2479,hernandezrichard222@fakeinbox.net,"76007 Spruce Ln",Sanford,NC,27330,Lee,1994-12-22,31,0,1,2019-08-04,2025-03-28
51,51,James,Williams,Male,429-555-2786,jamesw372@fakeinbox.net,"71160 Walnut Ave",Raleigh,NC,27607,Wake,1988-05-12,38,1,1,2025-02-21,NULL
52,52,Liam,Lopez,Male,269-555-8909,liamlopez585@nachomail.net,"44135 Dogwood St",Durham,NC,27704,Durham,1985-12-02,40,1,1,2025-01-17,NULL
53,53,Charles,Adams,Male,208-555-9347,adams906@notinbox.net,"4537 Maple Ave",Morrisville,NC,27560,Wake,1952-10-24,73,1,0,2023-07-15,NULL
54,54,Robert,Kelly,Male,385-555-9625,kelly54@offlinemail.com,"3313 Pine St",Raleigh,NC,27616,Wake,1988-06-17,37,1,0,2023-07-15,NULL
55,55,John,Adams,Male,229-555-9156,jadams715@nachomail.net,"60745 Shady Ln",Raleigh,NC,27615,Wake,1975-11-14,50,1,0,2020-10-18,NULL
